Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
38	:	1776957309.260	     0.270	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 37 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-advanced-pt
36	:	1776957309.252	     0.282	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 35 --exact --conditional:precision 1e-6 --conditional:algorithm bisection-advanced
51	:	1776957309.403	     0.150	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 50 --exact --conditional:algorithm bisection-advanced-pt
53	:	1776957309.415	     0.141	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 52 --conditional:precision 1e-6 --conditional:algorithm bisection
52	:	1776957309.407	     0.152	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 51 --exact --conditional:algorithm bisection-advanced-pt
44	:	1776957309.303	     0.263	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 43 --exact --conditional:algorithm bisection-pt
55	:	1776957309.444	     0.141	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 54 --conditional:precision 1e-6 --conditional:algorithm bisection
56	:	1776957309.447	     0.141	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 55 --conditional:precision 1e-6 --conditional:algorithm bisection
58	:	1776957309.463	     0.135	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 57 --conditional:precision 1e-6 --conditional:algorithm bisection-pt
60	:	1776957309.486	     0.128	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 59 --conditional:precision 1e-6 --conditional:algorithm restart
