Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
34	:	1769372185.995	     0.328	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 33 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-pt
38	:	1769372186.057	     0.272	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 37 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced-pt
36	:	1769372186.048	     0.282	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 35 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced
42	:	1769372186.151	     0.206	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 41 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection
43	:	1769372186.155	     0.210	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 42 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection-pt
45	:	1769372186.164	     0.201	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 44 --exact --minmax:precision 0.0 -condtol 0 --conditional restart
46	:	1769372186.170	     0.200	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 45 --exact --minmax:precision 0.0 -condtol 0 --conditional restart
51	:	1769372186.207	     0.201	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 50 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection-advanced-pt
44	:	1769372186.162	     0.276	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 43 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection-pt
53	:	1769372186.251	     0.192	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 52 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
54	:	1769372186.283	     0.190	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 53 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
52	:	1769372186.242	     0.237	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 51 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection-advanced-pt
55	:	1769372186.286	     0.194	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 54 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
56	:	1769372186.326	     0.190	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 55 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
57	:	1769372186.331	     0.188	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 56 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-pt
58	:	1769372186.334	     0.195	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 57 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-pt
47	:	1769372186.172	     0.377	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 46 --exact --minmax:precision 0.0 -condtol 0 --conditional restart
59	:	1769372186.360	     0.194	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 58 --minmax:precision 1e-6 -condtol 1e-6 --conditional restart
60	:	1769372186.369	     0.190	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 59 --minmax:precision 1e-6 -condtol 1e-6 --conditional restart
61	:	1769372186.371	     0.203	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 60 --minmax:precision 1e-6 -condtol 1e-6 --conditional restart
62	:	1769372186.374	     0.204	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 61 --minmax:precision 1e-6 -condtol 1e-6 --conditional restart
48	:	1769372186.194	     0.388	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 47 --exact --minmax:precision 0.0 -condtol 0 --conditional restart
63	:	1769372186.412	     0.193	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 62 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced
65	:	1769372186.445	     0.190	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 64 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced-pt
64	:	1769372186.441	     0.196	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 63 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced
66	:	1769372186.477	     0.196	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 65 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced-pt
67	:	1769372186.482	     0.201	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 66 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
68	:	1769372186.485	     0.216	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 67 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
70	:	1769372186.522	     0.207	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 69 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
71	:	1769372186.533	     0.200	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 70 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-pt
73	:	1769372186.556	     0.203	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 72 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced
75	:	1769372186.577	     0.203	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 74 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced-pt
